                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6151,                 3.7927,                 3.0307,                 1.6369,                0.00406,                0.65116,                0.16138,                0.04548,                0.00254,                0.43023,                0.15246,                0.01869,                 2.7773,                 2.5314,                 3.3081,                 2.5765,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.3116,                 1.4541,                 1.9176,                 1.3525,                0.99172,                0.15116,                0.31299,                0.16826,                0.99172,                0.15116,                0.26228,                 0.0593,                 2.0356,                 1.3328,                 2.8303,                 2.1465,             0.00083978,             0.00083978,             0.00083978
                      3,                 1.2725,                 1.3522,                 1.6601,                 1.3055,                0.87181,                0.26983,                 0.4722,                0.23118,                 0.9597,                0.33157,                0.53829,                  0.208,                 1.5466,                 1.1951,                 2.6254,                 1.7027,              0.0012016,              0.0012016,              0.0012016
                      4,                 1.2749,                 1.3904,                 1.5606,                 1.2567,                0.72269,                0.29415,                0.49649,                0.15176,                0.73797,                0.32558,                0.66759,                0.27389,                 1.8625,                 1.1132,                 2.6825,                 2.0544,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.2452,                 1.3181,                 1.4816,                 1.2711,                0.32489,                 0.3194,                0.29597,                0.09249,                0.46704,                   0.33,                0.36969,                0.12759,                 2.2268,                 1.1556,                 2.7292,                 2.5122,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.1746,                 1.2622,                 1.3473,                 1.2175,                0.74124,                  0.621,                0.73946,                0.31394,                0.68793,                0.62209,                0.67872,                0.28045,                 1.8785,                0.97573,                 1.8624,                 2.1997,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.1627,                 1.2249,                 1.3413,                 1.2279,                0.60365,                0.62296,                0.65596,                0.23012,                0.64286,                0.65899,                 0.7084,                0.28004,                 1.9936,                0.86652,                 1.9553,                 2.3142,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.1795,                 1.2893,                 1.2992,                 1.2386,                0.74239,                0.77274,                 0.8367,                0.36866,                0.75384,                0.82765,                0.86814,                0.38062,                 1.6102,                0.84907,                 1.5867,                 1.7982,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.0795,                 1.2061,                 1.1872,                 1.1817,                0.79293,                0.80814,                0.85385,                0.43843,                0.82684,                0.84302,                 0.9017,                0.41607,                 1.5171,                0.80997,                 1.6155,                 1.6719,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.0851,                 1.1507,                  1.147,                 1.1534,                0.82032,                0.84894,                0.91976,                0.41725,                0.84198,                0.88372,                0.94929,                0.50247,                 1.5423,                 0.7214,                 1.5703,                 1.6947,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.0479,                0.99712,                 1.2691,                 1.2824,                0.86388,                0.72674,                0.86332,                0.45694,                 0.8994,                0.75216,                0.90575,                0.40398,                 1.5334,                0.77964,                 1.5476,                 1.7179,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.0312,                 1.0066,                 1.1865,                 1.2484,                0.83673,                0.77907,                0.85107,                0.46139,                0.85975,                0.80957,                 0.8943,                0.46546,                 1.4254,                0.69567,                 1.4642,                 1.5824,             0.00075932,             0.00075932,             0.00075932
                     13,                0.98802,                0.94258,                 1.1008,                 1.1828,                  0.936,                0.78518,                0.89143,                0.50632,                0.95008,                0.79627,                0.92062,                0.45488,                 1.2977,                0.77399,                 1.5762,                 1.5169,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.0064,                0.94937,                 1.0914,                 1.2373,                0.80207,                0.80963,                0.83221,                0.35646,                0.96616,                0.79662,                0.94461,                 0.4578,                 1.6532,                 0.7161,                 1.6275,                 1.8255,             0.00059429,             0.00059429,             0.00059429
                     15,                0.94844,                0.91892,                 1.0327,                 1.1883,                0.93184,                0.84943,                0.96538,                 0.5589,                0.94834,                0.86596,                0.98639,                0.50998,                 1.3462,                0.77462,                 1.2048,                 1.5217,             0.00051177,             0.00051177,             0.00051177
                     16,                0.93298,                0.93907,                0.98746,                 1.1803,                0.91881,                 0.8314,                0.94324,                0.46683,                0.91749,                0.88291,                0.97506,                0.46239,                 1.5034,                0.78676,                 1.3055,                 1.6538,             0.00042925,             0.00042925,             0.00042925
                     17,                0.89098,                0.90369,                0.93753,                 1.1475,                0.89016,                0.86167,                0.94725,                0.53137,                0.94187,                0.87782,                0.97658,                0.49486,                 1.3127,                0.72928,                  1.239,                 1.5046,             0.00034674,             0.00034674,             0.00034674
                     18,                0.85809,                 0.9228,                0.90002,                 1.1248,                 0.8773,                0.90675,                0.95025,                 0.5405,                0.91105,                0.94754,                0.98281,                0.50863,                 1.3532,                 0.7175,                 1.1462,                 1.5283,             0.00026422,             0.00026422,             0.00026422
                     19,                0.84008,                0.88833,                 0.8983,                 1.1088,                0.92879,                0.93259,                0.96373,                0.54228,                0.95631,                0.96166,                0.99043,                 0.5222,                 1.3907,                0.71951,                 1.1188,                 1.5551,              0.0001817,              0.0001817,              0.0001817
                     20,                0.80362,                0.91588,                0.86739,                 1.0976,                0.91766,                0.92647,                0.95647,                0.56658,                0.95387,                 0.9612,                0.98921,                0.51539,                 1.3441,                 0.7294,                 1.0801,                   1.52,             9.9187e-05,             9.9187e-05,             9.9187e-05
